x=[0.236083], y=[0.984130], z=[0.000000]
x=[0.237789], y=[0.983883], z=[0.000000]
x=[0.239493], y=[0.983634], z=[0.000000]
x=[0.241196], y=[0.983383], z=[0.000000]
x=[0.242896], y=[0.983130], z=[0.000000]
x=[0.244595], y=[0.982876], z=[0.000000]
x=[0.246291], y=[0.982619], z=[0.000000]
x=[0.247986], y=[0.982361], z=[0.000000]
x=[0.249679], y=[0.982100], z=[0.000000]
x=[0.251369], y=[0.981838], z=[0.000000]
x=[0.253058], y=[0.981574], z=[0.000000]
x=[0.254745], y=[0.981308], z=[0.000000]
x=[0.256431], y=[0.981040], z=[0.000000]
x=[0.258114], y=[0.980770], z=[0.000000]
x=[0.259795], y=[0.980498], z=[0.000000]
x=[0.261475], y=[0.980225], z=[0.000000]
x=[0.263152], y=[0.979949], z=[0.000000]
x=[0.264828], y=[0.979671], z=[0.000000]
x=[0.266501], y=[0.979392], z=[0.000000]
x=[0.268173], y=[0.979111], z=[0.000000]
x=[0.269843], y=[0.978827], z=[0.000000]
x=[0.271511], y=[0.978542], z=[0.000000]
x=[0.273177], y=[0.978255], z=[0.000000]
x=[0.274841], y=[0.977966], z=[0.000000]
x=[0.276504], y=[0.977675], z=[0.000000]
x=[0.278164], y=[0.977383], z=[0.000000]
x=[0.279822], y=[0.977088], z=[0.000000]
x=[0.281479], y=[0.976791], z=[0.000000]
x=[0.283134], y=[0.976493], z=[0.000000]
x=[0.284786], y=[0.976192], z=[0.000000]
x=[0.286437], y=[0.975890], z=[0.000000]
x=[0.288086], y=[0.975586], z=[0.000000]
x=[0.289733], y=[0.975280], z=[0.000000]
x=[0.291378], y=[0.974972], z=[0.000000]
x=[0.293021], y=[0.974662], z=[0.000000]
x=[0.294662], y=[0.974350], z=[0.000000]
x=[0.296302], y=[0.974036], z=[0.000000]
x=[0.297939], y=[0.973721], z=[0.000000]
x=[0.299575], y=[0.973403], z=[0.000000]
x=[0.301208], y=[0.973083], z=[0.000000]
x=[0.302840], y=[0.972762], z=[0.000000]
x=[0.304470], y=[0.972439], z=[0.000000]
x=[0.306098], y=[0.972114], z=[0.000000]
x=[0.307724], y=[0.971786], z=[0.000000]
x=[0.309348], y=[0.971457], z=[0.000000]
x=[0.310970], y=[0.971127], z=[0.000000]
x=[0.312591], y=[0.970794], z=[0.000000]
x=[0.314209], y=[0.970459], z=[0.000000]
x=[0.315825], y=[0.970122], z=[0.000000]
x=[0.317440], y=[0.969784], z=[0.000000]
x=[0.319053], y=[0.969443], z=[0.000000]
x=[0.320663], y=[0.969101], z=[0.000000]
x=[0.322272], y=[0.968757], z=[0.000000]
x=[0.323879], y=[0.968410], z=[0.000000]
x=[0.325484], y=[0.968062], z=[0.000000]
x=[0.327087], y=[0.967712], z=[0.000000]
x=[0.328689], y=[0.967360], z=[0.000000]
x=[0.330288], y=[0.967007], z=[0.000000]
x=[0.331885], y=[0.966651], z=[0.000000]
x=[0.333481], y=[0.966293], z=[0.000000]
x=[0.335074], y=[0.965934], z=[0.000000]
x=[0.336666], y=[0.965572], z=[0.000000]
x=[0.338256], y=[0.965209], z=[0.000000]
x=[0.339844], y=[0.964844], z=[0.000000]
x=[0.341430], y=[0.964477], z=[0.000000]
x=[0.343014], y=[0.964108], z=[0.000000]
x=[0.344596], y=[0.963737], z=[0.000000]
x=[0.346176], y=[0.963364], z=[0.000000]
x=[0.347754], y=[0.962989], z=[0.000000]
x=[0.349331], y=[0.962612], z=[0.000000]
x=[0.350905], y=[0.962234], z=[0.000000]
x=[0.352478], y=[0.961853], z=[0.000000]
x=[0.354049], y=[0.961471], z=[0.000000]
x=[0.355618], y=[0.961086], z=[0.000000]
x=[0.357184], y=[0.960700], z=[0.000000]
x=[0.358749], y=[0.960312], z=[0.000000]
